TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:01.40,0.702688172043011,430,-15.5,121.17
00:02.10,0.702688172043011,430,-15.5,144.19
00:03.50,1.93548387096774,-15.5,-15.5,90.66
00:04.20,1.85728250244379,374,-15.5,127.31
00:05.59,0.576001955034213,349,-15.5,86.04
00:06.30,1.73509286412512,349,-15.5,120.73
00:07.69,1.73509286412512,-15.5,-15.5,91.58
00:08.39,0.616226783968719,360,-15.5,128.96
00:09.79,0.590078201368524,-15.5,-15.5,83.72
00:10.49,0.590078201368524,355,-15.5,123.61
00:11.88,1.80351906158358,-15.5,-15.5,85.11
00:12.59,0.569941348973607,344,-15.5,119.91
00:13.98,1.72043010752688,-15.5,-15.5,91.12
00:14.68,0.614222873900293,359,-15.5,128.55
00:16.08,1.72531769305963,-15.5,-15.5,84.65
00:16.78,0.59208211143695,358,-15.5,123.61
00:18.18,0.567937438905181,345,-15.5,82.34
00:18.88,1.73020527859238,345,-15.5,119.49
00:20.27,0.604154447702835,-15.5,-15.5,89.73
00:20.98,1.68621700879765,356,-15.5,126.08
00:22.37,0.614222873900293,365,-15.5,85.57
00:23.07,0.614222873900293,365,-15.5,127.72
00:24.47,0.576001955034213,351,-15.5,81.88
00:25.17,1.75464320625611,351,-15.5,120.73
00:26.56,0.600146627565982,-15.5,-15.5,88.81
00:27.27,1.68621700879765,353,-15.5,125.67
00:28.66,1.68621700879765,-15.5,-15.5,85.11
00:29.36,0.614222873900293,366,-15.5,128.14
00:30.76,0.567937438905181,347,-15.5,81.41
00:31.46,0.567937438905181,347,-15.5,119.08
