TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.05,1.48093841642229,-0.03,24.09,24.43
00:00.10,1.01173020527859,-0.02,25.48,24.84
00:00.16,0.840664711632454,0.28,26.87,27.31
00:00.21,0.767350928641251,-0.31,26.40,24.84
00:00.26,0.718475073313783,0.52,25.02,24.43
00:00.32,0.72336265884653,-0.15,24.55,24.43
00:00.37,0.762463343108504,-0.58,25.94,24.84
00:00.42,0.742913000977517,-0.4,25.48,24.84
00:00.48,0.713587487781036,0.14,25.02,25.25
00:00.53,0.689149560117302,0,25.02,24.84
00:00.59,0.718475073313783,0.27,25.02,24.84
00:00.64,0.72336265884653,0.27,25.02,25.25
00:00.69,0.708699902248289,0.13,26.40,25.66
00:00.75,0.698924731182796,0.83,24.09,24.43
00:00.80,0.728250244379277,0.97,25.48,24.84
00:00.85,0.742913000977517,1.12,26.40,24.43
00:00.91,0.73802541544477,0.97,26.87,24.84
00:00.96,0.703812316715543,1.07,25.02,25.25
00:01.01,0.694037145650049,0.83,25.02,27.31
00:01.07,0.708699902248289,1.07,25.48,25.25
00:01.12,0.72336265884653,1.07,25.02,24.43
00:01.17,0.713587487781036,0.94,26.87,25.25
00:01.23,0.703812316715543,0.93,26.87,27.31
00:01.28,0.684261974584555,0.92,23.63,27.72
00:01.33,0.703812316715543,0.97,24.09,25.25
00:01.39,0.72336265884653,0.4,25.02,24.43
00:01.44,0.733137829912023,0.41,27.33,25.25
00:01.49,0.708699902248289,0.41,26.40,27.31
00:01.55,0.679374389051808,0.4,25.48,25.25
00:01.60,0.703812316715543,0.27,25.02,25.25
00:01.65,0.733137829912023,0.13,25.02,24.43
00:01.71,0.72336265884653,0.41,26.87,25.66
00:01.76,0.703812316715543,0.97,26.40,25.25
00:01.81,0.669599217986315,0.41,27.33,24.84
00:01.86,0.698924731182796,0.83,25.48,24.43
00:01.92,0.72336265884653,0.41,25.94,24.84
00:01.97,0.72336265884653,0.41,25.48,25.25
00:02.02,0.698924731182796,0.41,27.33,24.43
00:02.08,0.679374389051808,0.51,25.02,25.66
00:02.13,0.703812316715543,0.41,24.55,24.43
00:02.18,0.718475073313783,0.27,24.55,25.25
00:02.24,0.72336265884653,0.37,26.40,25.25
00:02.30,0.679374389051808,0.37,23.63,25.66
00:02.35,0.708699902248289,0.37,24.55,26.49
00:02.40,0.72336265884653,0.4,25.94,23.61
00:02.46,0.72336265884653,0.54,25.94,25.25
00:02.51,0.703812316715543,0.41,25.48,24.02
00:02.56,0.679374389051808,0.41,23.63,25.66
00:02.62,0.698924731182796,0.4,25.02,24.02
00:02.67,0.72336265884653,0.41,25.48,24.02
00:02.72,0.72336265884653,0.4,26.87,24.43
00:02.78,0.698924731182796,0.41,26.40,27.31
00:02.83,0.674486803519062,0.54,24.09,25.25
00:02.88,0.698924731182796,0.41,26.87,24.84
00:02.93,0.713587487781036,-0.28,26.40,24.84
00:02.99,0.742913000977517,0.98,25.02,24.43
00:03.04,0.708699902248289,0.41,25.02,25.66
00:03.09,0.674486803519062,0.41,25.48,24.84
00:03.15,0.698924731182796,0.4,25.48,24.84
00:03.20,0.718475073313783,0.4,25.94,25.25
00:03.25,0.72336265884653,0.27,25.94,23.19
00:03.31,0.703812316715543,0.23,26.40,24.84
00:03.36,0.679374389051808,0.24,23.17,25.66
00:03.41,0.708699902248289,0.1,24.55,26.49
00:03.47,0.713587487781036,0.23,25.02,24.84
00:03.52,0.72336265884653,0.27,27.33,24.43
00:03.57,0.698924731182796,-0.42,26.40,25.25
00:03.63,0.694037145650049,-0.55,24.09,25.66
00:03.68,0.698924731182796,-0.41,23.17,24.43
00:03.73,0.708699902248289,-0.95,24.55,24.84
00:03.78,0.718475073313783,-0.54,25.02,24.43
00:03.84,0.694037145650049,-0.54,26.87,24.84
00:03.89,0.674486803519062,-0.69,25.02,25.66
00:03.94,0.689149560117302,-0.82,25.02,24.84
00:04.00,0.708699902248289,-0.81,24.09,24.43
00:04.05,0.72336265884653,-0.69,25.94,24.02
00:04.11,0.694037145650049,-0.25,25.02,24.84
00:04.16,0.669599217986315,-0.82,23.63,25.25
00:04.21,0.684261974584555,-0.81,24.55,24.84
00:04.27,0.718475073313783,-0.42,25.48,24.43
00:04.32,0.728250244379277,-0.42,25.48,24.84
