TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.05,1.21700879765396,10.54,26.4,24.84
00:00.11,0.899315738025415,10.27,25.48,25.66
00:00.17,0.826001955034213,10.1,26.4,25.66
00:00.22,0.757575757575758,10.27,24.55,25.66
00:00.28,0.747800586510264,9.88,25.48,24.43
00:00.34,0.742913000977517,9.9,27.79,25.25
00:00.40,0.73802541544477,11.71,25.02,24.84
00:00.45,0.752688172043011,11.79,28.25,25.66
00:00.51,0.72336265884653,11.13,26.4,25.25
00:00.57,0.752688172043011,11.68,26.87,28.13
00:00.62,0.718475073313783,11.58,27.33,26.08
00:00.68,0.728250244379277,10.64,25.02,25.25
00:00.73,0.747800586510264,10.67,26.4,25.25
00:00.79,0.713587487781036,10.98,25.48,25.66
00:00.85,0.742913000977517,11.01,27.79,25.25
00:00.91,0.713587487781036,10.81,24.09,25.25
00:00.96,0.728250244379277,9.15,26.4,24.43
00:01.02,0.728250244379277,9.61,26.87,26.08
00:01.08,0.72336265884653,8.85,26.87,26.49
00:01.13,0.733137829912023,10.31,26.87,24.84
00:01.19,0.713587487781036,9.44,28.71,24.84
00:01.25,0.733137829912023,9.86,25.94,24.02
00:01.30,0.72336265884653,9.48,27.79,25.66
00:01.36,0.703812316715543,9.65,25.02,26.08
00:01.41,0.718475073313783,9.54,25.48,25.66
00:01.47,0.733137829912023,9.89,26.87,26.08
00:01.53,0.698924731182796,9.79,24.09,25.66
00:01.58,0.733137829912023,9.82,25.48,24.43
00:01.64,0.742913000977517,9.58,26.4,25.25
00:01.69,0.713587487781036,9.44,24.55,24.84
00:01.75,0.73802541544477,9.09,26.4,25.25
00:01.80,0.708699902248289,8.59,26.87,25.25
00:01.86,0.708699902248289,8.85,25.48,24.84
00:01.92,0.733137829912023,9.02,27.79,24.84
00:01.97,0.698924731182796,8.64,25.02,26.08
00:02.03,0.708699902248289,8.81,25.94,24.02
00:02.08,0.72336265884653,8.16,27.79,25.25
00:02.14,0.698924731182796,8.47,25.02,25.66
00:02.20,0.713587487781036,8.1,27.33,24.84
00:02.25,0.718475073313783,8.13,28.25,26.49
00:02.31,0.713587487781036,8.3,25.94,24.43
00:02.37,0.72336265884653,8.47,26.4,25.66
00:02.42,0.694037145650049,7.58,25.94,26.49
00:02.48,0.728250244379277,8.02,26.87,24.84
00:02.54,0.713587487781036,7.92,25.94,26.08
00:02.59,0.718475073313783,7.96,24.55,25.25
00:02.65,0.733137829912023,7.85,27.33,24.43
00:02.70,0.708699902248289,7.07,26.87,26.08
00:02.76,0.694037145650049,7.24,25.02,25.25
00:02.82,0.733137829912023,7.41,30.1,25.25
00:02.87,0.703812316715543,7.45,25.48,25.66
00:02.92,0.713587487781036,6.94,24.55,26.08
00:02.98,0.728250244379277,6.42,30.1,25.25
00:03.04,0.708699902248289,7.15,26.4,25.25
00:03.09,0.708699902248289,6.2,25.02,25.25
00:03.15,0.72336265884653,6.23,29.18,26.08
00:03.21,0.708699902248289,5.88,23.63,24.84
00:03.26,0.72336265884653,6.17,25.94,24.84
00:03.32,0.713587487781036,5.64,26.87,26.08
00:03.37,0.698924731182796,6.38,26.4,25.25
00:03.43,0.718475073313783,6.4,25.02,26.9
00:03.48,0.718475073313783,6.16,26.87,25.66
00:03.54,0.684261974584555,5.8,25.02,25.66
00:03.59,0.72336265884653,5.96,25.02,27.72
00:03.65,0.718475073313783,5.12,27.33,25.25
00:03.71,0.708699902248289,4.17,26.4,25.66
